country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-02-2026 12:00:00",28.628624,77.241060,OZONE,18,94,20
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-02-2026 12:00:00",28.732820,77.170633,PM2.5,75,362,261
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-02-2026 12:00:00",28.732820,77.170633,SO2,45,70,55
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","14-02-2026 12:00:00",28.580280,77.233829,NH3,13,17,15
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","14-02-2026 12:00:00",28.580280,77.233829,CO,20,191,45
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","14-02-2026 12:00:00",28.5918245,77.2273074,CO,60,107,98
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","14-02-2026 12:00:00",28.5918245,77.2273074,OZONE,19,138,38
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","14-02-2026 12:00:00",28.611281,77.237738,NH3,16,18,17
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","14-02-2026 12:00:00",28.611281,77.237738,SO2,4,14,9
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","14-02-2026 12:00:00",30.751462,76.762879,PM10,84,147,112
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","14-02-2026 12:00:00",30.751462,76.762879,NO2,8,23,12
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","14-02-2026 12:00:00",30.751462,76.762879,OZONE,1,54,6
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","14-02-2026 12:00:00",21.194815,81.314770,CO,27,48,37
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","14-02-2026 12:00:00",21.185571,81.343175,NH3,3,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","14-02-2026 12:00:00",21.224231,81.408350,PM2.5,41,230,69
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","14-02-2026 12:00:00",21.224231,81.408350,PM10,41,182,71
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","14-02-2026 12:00:00",21.224231,81.408350,NO2,30,98,52
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","14-02-2026 12:00:00",21.224231,81.408350,SO2,33,105,54
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","14-02-2026 12:00:00",21.258815,81.578979,CO,23,66,59
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","14-02-2026 12:00:00",21.219665,81.630094,PM2.5,27,80,47
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","14-02-2026 12:00:00",21.219665,81.630094,PM10,42,123,70
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","14-02-2026 12:00:00",21.219665,81.630094,NO2,36,76,49
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","14-02-2026 12:00:00",21.219665,81.630094,CO,32,82,74
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","14-02-2026 12:00:00",22.06631475,83.33820077,PM2.5,48,110,80
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","14-02-2026 12:00:00",22.06631475,83.33820077,SO2,5,17,6
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","14-02-2026 12:00:00",28.647622,77.3158090,PM2.5,98,371,257
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","14-02-2026 12:00:00",22.118125,83.140608,OZONE,16,90,19
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","14-02-2026 12:00:00",22.348441,82.549611,NO2,18,28,22
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","14-02-2026 12:00:00",22.348441,82.549611,OZONE,12,26,26
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","14-02-2026 12:00:00",22.126650,83.483212,NO2,12,77,38
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","14-02-2026 12:00:00",22.126650,83.483212,SO2,1,68,15
